Happiness Rank,Family,Country,Region,Happiness Score,Dystopia Residual,Generosity,Health (Life Expectancy),Trust (Government Corruption),Upper Confidence Interval,Freedom,Lower Confidence Interval,Economy (GDP per Capita)
131,0.71478,Zimbabwe,Sub-Saharan Africa,4.193,2.4427,0.18503,0.1595,0.08582,4.285,0.25429,4.101,0.35041
132,0.147,Malawi,Sub-Saharan Africa,4.156,2.82859,0.30968,0.29364,0.07564,4.271,0.4143,4.041,0.08709
133,0.81928,Sudan,Sub-Saharan Africa,4.139,2.10995,0.18077,0.29759,0.10039,4.35,0,3.928,0.63069
134,0.72368,Gabon,Sub-Saharan Africa,4.121,1.45332,0.06244,0.3494,0.09314,4.212,0.28098,4.03,1.15851
135,0.86333,Mali,Sub-Saharan Africa,4.073,2.11087,0.21064,0.16347,0.13647,4.158,0.27544,3.988,0.31292
136,0.29561,Haiti,Latin America and Caribbean,4.028,2.37116,0.47958,0.27494,0.14476,4.163,0.12072,3.893,0.34097
137,0.89186,Botswana,Sub-Saharan Africa,3.974,0.96741,0.12425,0.34752,0.10769,4.073,0.44089,3.875,1.09426
138,0.60323,Comoros,Sub-Saharan Africa,3.956,2.25632,0.1827,0.29981,0.18437,4.052,0.15412,3.86,0.27509
139,0.57576,Ivory Coast,Sub-Saharan Africa,3.916,1.97478,0.20338,0.04476,0.1553,4.006,0.40663,3.826,0.55507
140,0.5375,Cambodia,Southeastern Asia,3.907,1.31573,0.40339,0.42494,0.08092,4.016,0.58852,3.798,0.55604
141,0.66366,Angola,Sub-Saharan Africa,3.866,2.09459,0.12071,0.04991,0.08434,3.979,0.00589,3.753,0.84731
142,0.6053,Niger,Sub-Saharan Africa,3.856,2.09469,0.2097,0.26162,0.17176,3.931,0.38041,3.781,0.1327
144,0.63178,Chad,Sub-Saharan Africa,3.763,2.30637,0.18667,0.03824,0.04952,3.854,0.12807,3.672,0.42214
145,0.63054,Burkina Faso,Sub-Saharan Africa,3.739,1.87319,0.24353,0.21297,0.12533,3.831,0.3337,3.647,0.31995
145,0.90981,Uganda,Sub-Saharan Africa,3.739,1.51416,0.27102,0.19625,0.06442,3.849,0.43653,3.629,0.34719
147,0.47493,Yemen,Middle East and Northern Africa,3.724,1.97295,0.09821,0.31048,0.05892,3.827,0.2287,3.621,0.57939
148,0.46115,Madagascar,Sub-Saharan Africa,3.695,2.15075,0.2204,0.37109,0.07506,3.769,0.13684,3.621,0.27954
149,0.77623,Tanzania,Sub-Saharan Africa,3.666,1.37769,0.31472,0.357,0.05099,3.771,0.3176,3.561,0.47155
150,0.50353,Liberia,Sub-Saharan Africa,3.622,2.23284,0.24063,0.23165,0.04852,3.781,0.25748,3.463,0.10706
151,0.3109,Guinea,Sub-Saharan Africa,3.607,2.15604,0.29914,0.18829,0.1192,3.681,0.30953,3.533,0.22415
152,0.61586,Rwanda,Sub-Saharan Africa,3.515,0.96819,0.23552,0.31865,0.50521,3.586,0.5432,3.444,0.32846
153,0.10419,Benin,Sub-Saharan Africa,3.484,2.10812,0.2018,0.21028,0.06681,3.564,0.39747,3.404,0.39499
154,0.11037,Afghanistan,Southern Asia,3.36,2.14558,0.31268,0.17344,0.07112,3.432,0.1643,3.288,0.38227
155,0,Togo,Sub-Saharan Africa,3.303,2.1354,0.17517,0.24811,0.11587,3.414,0.34678,3.192,0.28123
156,0.14866,Syria,Middle East and Northern Africa,3.069,0.81789,0.48397,0.62994,0.17233,3.202,0.06912,2.936,0.74719
157,0.23442,Burundi,Sub-Saharan Africa,2.905,2.10404,0.2029,0.15747,0.09419,3.078,0.0432,2.732,0.06831
